Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
str_zlv_hatchbackdoors_codriver1,Front right door of the LADA Niva off-road. Keeps the co-driver safe inside the vehicle.,Front right door of the LADA Niva off-road. Keeps the co-driver safe inside the vehicle.,Pravé přední dveře terénního vozu LADA Niva. Chrání spolujezdce vepředu.,"Rechte Vordertür des LADA Niva-Offroaders. Verhindert, dass der Beifahrer aus dem Wagen fällt.",Передняя правая дверь внедорожника ВАЗ-2121 «Нива». Обеспечивает безопасность сменного водителя внутри автомобиля.,Przednie prawe drzwi od terenówki LADA Niva. Dzięki nim drugi kierowca będzie bezpieczny.,Front right door of the LADA Niva off-road. Keeps the co-driver safe inside the vehicle.,La portiera anteriore destra del fuoristrada LADA Niva. Mantiene il copilota al sicuro all’interno del veicolo.,Puerta derecha delantera del vehículo todoterreno LADA Niva. Mantiene al copiloto a salvo dentro del vehículo.,Une portière avant droite pour Ada 4x4. Permet de protéger le passager avant.,LADA Niva 越野車的右前門。保持副駕駛在車內的安全。,LADA Niva オフロードの右前のドア。助手席の人も安全に乗れる。,Porta dianteira direita do LADA Niva. Mantém o copiloto seguro dentro do veículo.,LADA Niva 越野车的右前车门。确保车内副驾驶员的安全。
str_zlv_civiliansedan0,GAZ-24 Volga,GAZ-24 Volga,GAZ-24 Volga,GAZ-24 Volga,ГАЗ-24 «Волга»,GAZ-24 Volga,GAZ-24 Volga,GAZ-24 Volga,GAZ-24 Volga,GAZ-24 Volga,GAZ-24 Volga,GAZ-24 Volga,GAZ-24 Volga,GAZ-24 Volga
str_zlv_civsedanwheel0,Volga Wheel,Volga Wheel,Kolo Volga,Volga-Reifen,Колесо от Волги,Koło od Olgi 24,Volga Wheel,Ruota Volga,Rueda de Volga,Roue de Olga 24,Volga 輪胎,Volga 車輪,Roda Volga,Volga 车轮
str_zlv_civsedantrunk0,Volga Trunk Lid,Volga Trunk Lid,Dveře od kufru Volga,Volga-Kofferraumklappe,Крышка багажника Волги,Klapa bagażnika od Olgi 24,Volga Trunk Lid,Cofano posteriore Volga,Maletero de Volga,Coffre de Olga 24,Volga 車廂蓋,Volga トランクリッド,Tampa de porta-malas Volga,Volga 后备箱盖
str_zlv_civsedanhood0,Volga Hood,Volga Hood,Kapota Volga,Volga Motorhaube,Капот от Волги,Maska od Olgi 24,Volga Hood,Cofano Volga,Capó de Volga,Capot de Olga 24,Volga 引擎蓋,Volga ボンネット,Capô Volga,Volga 引擎盖
str_zlv_civsedandoors_driver0,Volga Front Left Door,Volga Front Left Door,Levé přední dveře Volga,Volga Tür vorne links,Передняя левая дверь Волги,Przednie lewe drzwi od Olgi 24,Volga Front Left Door,Portiera anteriore sinistra Volga,Puerta izquierda delantera de Volga,Portière AVG de Olga 24,Volga 左前門,Volga 左前のドア,Porta dianteira esquerda Volga,Volga 左前车门
str_zlv_civsedandoors_codriver0,Volga Front Right Door,Volga Front Right Door,Pravé přední dveře Volga,Volga Tür vorne rechts,Передняя правая дверь Волги,Przednie prawe drzwi od Olgi 24,Volga Front Right Door,Portiera anteriore destra Volga,Puerta derecha delantera de Volga,Portière AVD de Olga 24,Volga 右前門,Volga 右前のドア,Porta dianteira direita Volga,Volga 右前车门
str_zlv_civsedandoors_backright0,Volga Rear Right Door,Volga Rear Right Door,Pravé zadní dveře Volga,Volga Tür hinten rechts,Задняя правая дверь Волги,Tyle prawe drzwi od Olgi 24,Volga Rear Right Door,Portiera posteriore destra Volga,Puerta derecha trasera de Volga,Portière ARD de Olga 24,Volga 右後門,Volga 右後ろのドア,Porta traseira direita Volga,Volga 右后车门
str_zlv_civsedandoors_backleft0,Volga Rear Left Door,Volga Rear Left Door,Levé zadní dveře Volga,Volga Tür hinten links,Задняя левая дверь Волги,Tyle lewe drzwi od Olgi 24,Volga Rear Left Door,Portiera posteriore sinistra Volga,Puerta izquierda trasera de Volga,Portière ARG de Olga 24,Volga 左後門,Volga 左後ろのドア,Porta traseira esquerda Volga,Volga 左后车门
str_zlv_civsedandoors_backleft1,Rear left door of the GAZ-24 Volga sedan. Keeps the passenger in the backseat safe inside the vehicle.,Rear left door of the GAZ-24 Volga sedan. Keeps the passenger in the backseat safe inside the vehicle.,Levé zadní dveře sedanu GAZ-24 Volga. Chrání spolujezdce na zadním sedadle uvnitř vozu.,"Linke Hintertür der GAZ-24 Volga-Limousine. Verhindert, dass Passagiere auf der Rückbank aus dem Wagen fallen.",Задняя левая дверь седана ГАЗ-24 «Волга». Обеспечивает безопасность пассажиров на заднем сиденье.,Tylne lewe drzwi od sedana GAZ-24 Volga. Dzięki nim pasażer z tyłu będzie bezpieczny.,Rear left door of the GAZ-24 Volga sedan. Keeps the passenger in the backseat safe inside the vehicle.,La portiera posteriore sinistra della berlina GAZ-24 Volga. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.,Puerta izquierda trasera de la berlina GAZ-24 Volga. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.,Une portière arrière gauche pour berline Olga 24. Permet de protéger le passager arrière à gauche.,GAZ-24 Volga 四門客車的左後門。使後座乘客安全的坐在車內。,GAZ-24 Volga セダンの左後ろのドア。後部席の人も安全に乗れる。,Porta traseira esquerda do GAZ-24 Volga sedã. Mantém o passageiro no banco de trás seguro dentro do veículo.,GAZ-24 Volga 轿车左后车门。确保车内后座乘客的安全。
str_zlv_civsedandoors_backright1,Rear right door of the GAZ-24 Volga sedan. Keeps the passenger in the backseat safe inside the vehicle.,Rear right door of the GAZ-24 Volga sedan. Keeps the passenger in the backseat safe inside the vehicle.,Pravé zadní dveře sedanu GAZ-24 Volga. Chrání spolujezdce na zadním sedadle uvnitř vozu.,"Rechte Hintertür der GAZ-24 Volga-Limousine. Verhindert, dass Passagiere auf der Rückbank aus dem Wagen fallen.",Задняя правая дверь седана ГАЗ-24 «Волга». Обеспечивает безопасность пассажиров на заднем сиденье.,Tylne prawe drzwi od sedana GAZ-24 Volga. Dzięki nim pasażer z tyłu będzie bezpieczny.,Rear right door of the GAZ-24 Volga sedan. Keeps the passenger in the backseat safe inside the vehicle.,La portiera posteriore destra della berlina GAZ-24 Volga. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.,Puerta derecha trasera de la berlina GAZ-24 Volga. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.,Une portière arrière droite pour berline Olga 24. Permet de protéger le passager arrière à droite.,GAZ-24 Volga 四門客車的右後門。使後座乘客安全的坐在車內。,GAZ-24 Volga セダンの右後ろのドア。後部席の人も安全に乗れる。,Porta traseira direita do GAZ-24 Volga sedã. Mantém o passageiro no banco de trás seguro dentro do veículo.,GAZ-24 Volga 轿车右后车门。确保车内后座乘客的安全。
str_zlv_civsedandoors_codriver1,Front right door of the GAZ-24 Volga sedan. Keeps the co-driver safe inside the vehicle.,Front right door of the GAZ-24 Volga sedan. Keeps the co-driver safe inside the vehicle.,Pravé přední dveře sedanu GAZ-24 Volga. Chrání spolujezdce vepředu.,"Rechte Vordertür der GAZ-24 Volga-Limousine. Verhindert, dass der Beifahrer aus dem Wagen fällt.",Передняя правая дверь седана ГАЗ-24 «Волга». Обеспечивает безопасность сменного водителя внутри автомобиля.,Przednie prawe drzwi od sedana GAZ-24 Volga. Dzięki nim drugi kierowca będzie bezpieczny.,Front right door of the GAZ-24 Volga sedan. Keeps the co-driver safe inside the vehicle.,La portiera anteriore destra della berlina GAZ-24 Volga. Mantiene il copilota al sicuro all’interno del veicolo.,Puerta derecha delantera de la berlina GAZ-24 Volga. Mantiene al copiloto a salvo dentro del vehículo.,Une portière avant droite pour berline Olga 24. Permet de protéger le passager avant.,GAZ-24 Volga 四門客車的右前門。保持副駕駛在車內的安全。,GAZ-24 Volga セダンの右前のドア。助手席の人も安全に乗れる。,Porta direita do GAZ-24 Volga sedã. Mantém o copiloto seguro dentro do veículo.,GAZ-24 Volga 轿车右前车门。确保车内副驾驶员的安全。
str_zlv_civsedandoors_driver1,Front left door of the GAZ-24 Volga sedan. Keeps the driver safe inside the vehicle.,Front left door of the GAZ-24 Volga sedan. Keeps the driver safe inside the vehicle.,Levé přední dveře sedanu GAZ-24 Volga. Chrání řidiče uvnitř vozu.,"Linke Vordertür der GAZ-24 Volga-Limousine. Verhindert, dass der Fahrer aus dem Wagen fällt.",Передняя левая дверь седана ГАЗ-24 «Волга». Обеспечивает безопасность водителя внутри автомобиля.,Przednie lewe drzwi od sedana GAZ-24 Volga. Dzięki nim kierowca będzie bezpieczny.,Front left door of the GAZ-24 Volga sedan. Keeps the driver safe inside the vehicle.,La portiera anteriore sinistra della berlina GAZ-24 Volga. Mantiene il pilota al sicuro all’interno del veicolo.,Puerta izquierda delantera de la berlina GAZ-24 Volga. Mantiene al conductor a salvo dentro del vehículo.,Une portière avant gauche pour berline Olga 24. Permet de protéger le conducteur.,GAZ-24 Volga 四門客車的左前門。保持駕駛在車內的安全。,GAZ-24 Volga セダンの左前のドア。運転席の人も安全に乗れる。,Porta dianteira esquerda do GAZ-24 Volga sedã. Mantém o motorista seguro dentro do veículo.,GAZ-24 Volga 轿车左前车门。确保车内驾驶员的安全。
str_zlv_civsedanhood1,Hood of the GAZ-24 Volga sedan. Helps protect the engine and other sensitive car parts.,Hood of the GAZ-24 Volga sedan. Helps protect the engine and other sensitive car parts.,Kapota sedanu GAZ-24 Volga. Chrání motor a další citlivé součástky auta.,Motorhaube der GAZ-24 Volga-Limousine. Schützt den Motor und andere empfindliche Wagenteile.,Капот седана ГАЗ-24 «Волга». Помогает защитить двигатель и другие важные детали автомобиля.,Maska od sedana GAZ-24 Volga. Chroni silnik i inne delikatne części samochodu.,Hood of the GAZ-24 Volga sedan. Helps protect the engine and other sensitive car parts.,Il cofano della berlina GAZ-24 Volga. Aiuta a proteggere il motore e altri componenti delicati dell’automobile.,Capó de la berlina GAZ-24 Volga. Ayuda a proteger el motor y otras partes importantes del coche.,Un capot pour berline Olga 24. Protège le moteur et les pièces essentielles du véhicule.,GAZ-24 Volga 四門課車的引擎蓋。保護引擎與其他脆弱零件。,GAZ-24 Volga セダンのボンネット。エンジンやその他の繊細な車のパーツを保護してくれる。,Capô do GAZ-24 Volga sedã. Ajuda a proteger o motor e outras peças sensíveis do carro.,GAZ-24 Volga 轿车的引擎盖。可帮助保护发动机和其他敏感的汽车部件。
str_zlv_civsedantrunk1,Trunk lid of the GAZ-24 Volga sedan. Used for keeping trunk contents closed.,Trunk lid of the GAZ-24 Volga sedan. Used for keeping trunk contents closed.,Dveře od kufru sedanu GAZ-24 Volga. Používá se k uzavření nákladu v kufru.,Kofferraumklappe der GAZ-24 Volga-Limousine. Schützt den Inhalt des Kofferraums.,Крышка багажника седана ГАЗ-24 «Волга». Не дает содержимому багажника выпасть.,Klapa bagażnika od sedana GAZ-24 Volga. Dzięki niej zawartość bagażnika pozostaje w bagażniku.,Trunk lid of the GAZ-24 Volga sedan. Used for keeping trunk contents closed.,Il cofano posteriore della berlina GAZ-24 Volga. Utilizzato per mantenere al sicuro il contenuto del portabagagli.,Puerta del maletero de la berlina GAZ-24 Volga. Se usa para guardar el contenido del maletero.,Un coffre pour berline Olga 24. Permet de fermer le coffre et d'en protéger le contenu.,GAZ-24 Volga 四門客車的車廂蓋。鎖住車廂內的物品。,GAZ-24 Volga セダンのトランクリッド。トランクに入れた物が飛び出さないように使用される。,Tampa de porta-malas do GAZ-24 Volga sedã. Usada para manter o conteúdo do porta-malas fechado.,GAZ-24 Volga 轿车的后备箱盖。用于关住后备箱装的东西。
str_zlv_civsedanwheel1,A wheel of the GAZ-24 Volga sedan. Tire pattern is designed for high performance on common road surfaces.,A wheel of the GAZ-24 Volga sedan. Tire pattern is designed for high performance on common road surfaces.,Kolo sedanu GAZ-24 Volga. Vzorek pneumatiky je navržen k vysokým rychlostem na běžném povrchu vozovky.,Ein Reifen für die GAZ-24 Volga-Limousine. Das Reifenprofil ist für gewöhnliche Straßenbeläge optimiert.,Колесо седана ГАЗ-24 «Волга». Рисунок протектора обеспечивает высокую маневренность на обычных дорожных покрытиях.,Koło sedana GAZ-24 Volga. Wzór bieżnika usprawnia jazdę po normalnych drogach.,A wheel of the GAZ-24 Volga sedan. Tire pattern is designed for high performance on common road surfaces.,Una ruota della berlina GAZ-24 Volga. Pneumatico con battistrada concepito per offrire prestazioni elevate sulle strade ordinarie.,Una rueda para la berlina GAZ-24 Volga. El patrón de la rueda está diseñado para ofrecer un gran rendimiento en superficies comunes.,Une roue pour berline Olga 24. Le pneu offre de très bonnes performances sur route.,GAZ-24 Volga 四門客車的輪胎。輪胎紋路是專為一般路面所設計，性能優異。,GAZ-24 Volga セダンの車輪。タイヤの模様は通常の道路で高性能を見せるようにデザインされている。,Uma roda do GAZ-24 Volga sedã. O padrão do pneu é projetado para alto desempenho em superfícies de estrada comuns.,GAZ-24 Volga 轿车的车轮。轮胎花纹设计旨在适应普通道路路面，保持高性能。

syb_souls,Your souls:,Your souls:,Your souls:,Your souls:,Ваши души:,Your souls:,Your souls:,Your souls:,Your souls:,Your souls:,Your souls:,Your souls:,Your souls:,Your souls:
